review_rating,review_text,review_text_plus,review_text_minus,review_text_comment
5,"Достоинства:Лёгкие удобные
Недостатки:Имеется запах, думаю со временем не будет
Комментарий:Вообщем, доволен покупкой пришли быстро, выдали быстро за что очень благодарен сотрудникам.",Лёгкие удобные,"Имеется запах, думаю со временем не будет","Вообщем, доволен покупкой пришли быстро, выдали быстро за что очень благодарен сотрудникам."
4,Достоинства:Оказались рваные сбоку,Оказались рваные сбоку,Нет,Нет
5,"Достоинства:Удобные
Недостатки:Пока нет",Удобные,Пока нет,Нет
4,Достоинства:У меня 43 размер. 45 брал подошёл мне.,У меня 43 размер. 45 брал подошёл мне.,Нет,Нет
1,"Достоинства:ничего их нет
Недостатки:нитки торчат из язычка и подошвы
Комментарий:никаких очень плохой материал вонючий и не крпкий",ничего их нет,нитки торчат из язычка и подошвы,никаких очень плохой материал вонючий и не крпкий
2,Недостатки:Для снега не предназначены. Только на сухую погоду. Все промокли при первом снеге.,Нет,Для снега не предназначены. Только на сухую погоду. Все промокли при первом снеге.,Нет
5,Мужу всё понравилось. Спасибо продавцу!,Нет,Нет,Мужу всё понравилось. Спасибо продавцу!
1,"Отвратительное качество, якобы мех и только в области щиколотки,в районе пальцев вообще ничего нет,тонкие.Да ещё бракованно прошиты,паралон наружу.",Нет,Нет,"Отвратительное качество, якобы мех и только в области щиколотки,в районе пальцев вообще ничего нет,тонкие.Да ещё бракованно прошиты,паралон наружу."
4,Недостатки:Клея много,Нет,Клея много,Нет
5,Достоинства:Ботинки шикарны,Ботинки шикарны,Нет,Нет
5,"Достоинства:Удобные и теплые кроссовки.
Недостатки:Пока не заметил.",Удобные и теплые кроссовки.,Пока не заметил.,Нет
5,"Достоинства:Удобные
Недостатки:Нету",Удобные,Нету,Нет
5,Достоинства:Сын доволен,Сын доволен,Нет,Нет
5,Достоинства:Кросы хорошие👍👍👍размер не подошол,Кросы хорошие👍👍👍размер не подошол,Нет,Нет
5,"Достоинства:За такие деньги очень прилично выглядят, посмотрим как будет вноске
Недостатки:Упаковка отвратительная, обычный пакет перетянутый скотчем","За такие деньги очень прилично выглядят, посмотрим как будет вноске","Упаковка отвратительная, обычный пакет перетянутый скотчем",Нет
5,Достоинства:Очень классный нам понравилос надеюсь на долгую носку,Очень классный нам понравилос надеюсь на долгую носку,Нет,Нет
3,"Недостатки:Заказал 46, по этикеткам правильно, на деле и до 44го не дотягивает",Нет,"Заказал 46, по этикеткам правильно, на деле и до 44го не дотягивает",Нет
5,"Достоинства:Хорошие кроссы , теплые , маломер на размер
Недостатки:Нет
Комментарий:Остались довольны","Хорошие кроссы , теплые , маломер на размер",Нет,Остались довольны
5,Достоинства:Соответствуют описанию.,Соответствуют описанию.,Нет,Нет
3,"Недостатки:Маломерят на размер точно!
Комментарий:В реальности выглядят хуже чем на картинке. Зимними их назвать сложно, мех тонкий, больше похож на флис.",Нет,Маломерят на размер точно!,"В реальности выглядят хуже чем на картинке. Зимними их назвать сложно, мех тонкий, больше похож на флис."
5,"Достоинства:Они идеально белые и это прям Вау, снег даже рядом который и то не такой белый в общем они достойны к покупке и носке на основе тёплой обуви😌
Недостатки:За счёт того что они белые думаю быстро замараются, но смотря как в них ходить в целом это не особый недостаток","Они идеально белые и это прям Вау, снег даже рядом который и то не такой белый в общем они достойны к покупке и носке на основе тёплой обуви😌","За счёт того что они белые думаю быстро замараются, но смотря как в них ходить в целом это не особый недостаток",Нет
4,"Достоинства:Тёплые
Недостатки:В местах плохо прошиты",Тёплые,В местах плохо прошиты,Нет
5,"Достоинства:Вроде не чего, сыну понравилось, посмотрим сколько проносится... Личное моё мнение, красовки так себе. Лично я бы не взяла.","Вроде не чего, сыну понравилось, посмотрим сколько проносится... Личное моё мнение, красовки так себе. Лично я бы не взяла.",Нет,Нет
5,"Достоинства:Спасибо , все отлично!!!","Спасибо , все отлично!!!",Нет,Нет
5,Достоинства:Отличные кроссы!,Отличные кроссы!,Нет,Нет
5,Достоинства:Хорошие,Хорошие,Нет,Нет
5,"Достоинства:Кросовки хорошие, просто заказывали несколько пар чтобы выбрать . Продавцу спасибо. Упакованы так себе, в пакете.","Кросовки хорошие, просто заказывали несколько пар чтобы выбрать . Продавцу спасибо. Упакованы так себе, в пакете.",Нет,Нет
5,"Достоинства:Размер подошёл, доставка за один день, косяков не обнаружено. Посмотрим как будут носиться.
Недостатки:Нет.
Комментарий:Все как на фото, без запаха.","Размер подошёл, доставка за один день, косяков не обнаружено. Посмотрим как будут носиться.",Нет.,"Все как на фото, без запаха."
5,"Достоинства:Теплые. Класс
Недостатки:Их нет
Комментарий:Сыну понравились очень тёплые. Посмотрим как будет зимой",Теплые. Класс,Их нет,Сыну понравились очень тёплые. Посмотрим как будет зимой
1,Недостатки:Качество ужасное,Нет,Качество ужасное,Нет
